Home Team,Away Team,H,X,A,Pick,Home Form,Away Form,Time
San Antonio FC,Chacaritas,1.9,3.2,4,1,"('L', 'D', 'D', 'D', 'D')","('L', 'W', 'L', 'L', 'W')",7/6/2024 1:00
Coquimbo Unido,Palestino,2.1,3.4,3.3,X,"('W', 'D', 'W', 'W', 'L')","('W', 'L', 'L', 'L', 'D')",7/6/2024 1:00
Talleres Cordoba,Colon Santa Fe,1.8,3.4,4.2,1X,"('W', 'L', 'D', 'W', 'W')","('W', 'L', 'W', 'L', 'W')",7/6/2024 1:10
Tigres FC,Real Cartagena,4,3.5,1.9,2,"('L', 'L', 'L', 'L', 'L')","('L', 'W', 'W', 'D', 'L')",7/6/2024 1:30
South Melbourne,Manningham United Blues,1.1,7,12.4,1,"('W', 'W', 'W', 'W', 'L')","('D', 'L', 'L', 'L', 'L')",7/6/2024 10:30
Sydney II,St. George Saints,2.8,3.9,2.1,X,"('L', 'L', 'L', 'L', 'L')","('L', 'D', 'D', 'W', 'W')",7/6/2024 10:30
Manly United,APIA Leichhardt Tigers,5.9,4.7,1.4,2,"('W', 'D', 'W', 'D', 'L')","('W', 'W', 'W', 'W', 'W')",7/6/2024 10:30
South Adelaide Panthers,White City Woodville,4.5,4.5,1.5,2,"('L', 'L', 'L', 'L', 'L')","('W', 'L', 'W', 'D', 'L')",7/6/2024 11:00
MetroStars,Campbelltown City,1.6,4.2,4.2,1,"('D', 'W', 'D', 'D', 'W')","('D', 'L', 'W', 'D', 'W')",7/6/2024 11:15
WDSC Wolves,Rochedale Rovers,2.8,3.8,2.1,X,"('L', 'L', 'L', 'W', 'L')","('L', 'W', 'L', 'L', 'W')",7/6/2024 11:15
Kenya,Burundi,2,3.4,3.9,1,"('W', 'W', 'W', 'W', 'L')","('D', 'L', 'L', 'L', 'W')",7/6/2024 14:00
Zimbabwe,Lesotho,1.7,3.3,5.7,1,"('L', 'L', 'D', 'D', 'D')","('L', 'W', 'L', 'D', 'D')",7/6/2024 14:00
Mozambique,Somalia,1.2,6.6,14,1,"('D', 'L', 'D', 'D', 'W')","('D', 'L', 'L', 'L', 'L')",7/6/2024 14:00
Haras El Hodood,Suez,1.7,3.3,5.1,1,"('D', 'W', 'W', 'D', 'W')","('D', 'L', 'L', 'L', 'W')",7/6/2024 15:00
Tersana,Sporting Alexandria,3.2,2.9,2.3,X,"('D', 'W', 'L', 'L', 'W')","('D', 'W', 'W', 'W', 'D')",7/6/2024 15:00
CS Constantine,MC Oran,1.8,3.6,3.9,1,"('D', 'W', 'D', 'D', 'L')","('W', 'W', 'W', 'D', 'W')",7/6/2024 16:45
JS Saoura,USM Alger,1.9,3.2,4.1,1X,"('L', 'W', 'L', 'W', 'L')","('D', 'L', 'W', 'L', 'L')",7/6/2024 16:45
MC Alger,CR Belouizdad,2.2,3.5,3,X,"('D', 'W', 'D', 'W', 'W')","('W', 'D', 'W', 'L', 'L')",7/6/2024 16:45
ASO Chlef,JS Kabylie,1.4,4.5,8,1,"('L', 'W', 'W', 'D', 'W')","('D', 'D', 'D', 'D', 'W')",7/6/2024 16:45
Ben Aknoun,ES Setif,1.2,6.2,12.6,1,"('W', 'L', 'W', 'L', 'L')","('D', 'L', 'W', 'D', 'W')",7/6/2024 16:45
US Souf,Khenchela,12.7,6.1,1.2,2,"('L', 'L', 'L', 'L', 'L')","('W', 'L', 'D', 'W', 'L')",7/6/2024 16:45
El Bayadh,US Biskra,1.3,4.8,8.6,1,"('L', 'D', 'L', 'W', 'L')","('L', 'L', 'D', 'D', 'L')",7/6/2024 16:45
ASK Klagenfurt,St. Anna,1.7,4,3.8,1,"('L', 'W', 'L', 'L', 'D')","('L', 'L', 'W', 'W', 'D')",7/6/2024 17:00
Uganda,Botswana,1.9,3.3,4.6,1X,"('D', 'L', 'W', 'W', 'L')","('D', 'D', 'D', 'W', 'L')",7/6/2024 17:00
Angola,Eswatini,1.4,4.5,10,1,"('D', 'L', 'L', 'W', 'W')","('D', 'W', 'L', 'L', 'L')",7/6/2024 17:00
AB Copenhagen,Aarhus Fremad,5,4.3,1.6,2,"('L', 'D', 'D', 'L', 'D')","('L', 'W', 'W', 'W', 'L')",7/6/2024 18:00
Union Vöcklamarkt,Deutschlandsberger SC,3,3.7,2,1X,"('W', 'D', 'W', 'D', 'L')","('W', 'L', 'W', 'D', 'W')",7/6/2024 18:00
Derry City,Galway United,1.8,3.5,4.8,1,"('W', 'D', 'D', 'L', 'W')","('L', 'W', 'W', 'D', 'W')",7/6/2024 19:45
Waterford FC,Sligo Rovers,2,3.3,3.5,X,"('L', 'W', 'W', 'L', 'W')","('W', 'W', 'D', 'L', 'D')",7/6/2024 19:45
Shelbourne,Dundalk,1.8,3.4,4.8,1,"('L', 'W', 'W', 'W', 'D')","('W', 'D', 'L', 'W', 'L')",7/6/2024 19:45
Drogheda United,St Patricks Athletic,3,3.3,2.3,X,"('L', 'L', 'L', 'L', 'D')","('L', 'W', 'D', 'L', 'L')",7/6/2024 19:45
Coritiba,Ituano,1.5,4.2,7.5,1,"('L', 'W', 'D', 'W', 'L')","('L', 'W', 'L', 'W', 'L')",7/6/2024 23:00
Union Espanola,Union La Calera,1.6,4.2,4.7,1,"('W', 'W', 'D', 'L', 'D')","('L', 'L', 'L', 'L', 'L')",8/6/2024 0:00
San Lorenzo,Chacarita Juniors,1.6,3.8,5.8,1,"('L', 'D', 'D', 'W', 'L')","('W', 'L', 'D', 'L', 'L')",8/6/2024 0:00
Novorizontino,Santos,3.2,3.1,2.3,X,"('D', 'W', 'D', 'L', 'L')","('L', 'L', 'W', 'W', 'L')",8/6/2024 1:00
Green Gully,Heidelberg United,3.6,3.8,1.8,X2,"('D', 'L', 'L', 'D', 'W')","('W', 'L', 'D', 'W', 'W')",8/6/2024 4:00
Avondale,Moreland City,1.2,6.7,11.3,1,"('D', 'W', 'W', 'W', 'W')","('D', 'L', 'W', 'W', 'L')",8/6/2024 6:00
Sutherland Sharks,Blacktown City,8.4,5.5,1.3,2,"('D', 'L', 'D', 'L', 'L')","('W', 'L', 'W', 'W', 'W')",8/6/2024 7:30
Moreton City Excelsior,SC Wanderers,1.6,4.3,4.3,1,"('W', 'D', 'W', 'D', 'L')","('W', 'D', 'W', 'W', 'L')",8/6/2024 7:45
Armadale,Olympic Kingsway,3.2,3.8,2,X,"('W', 'L', 'W', 'W', 'D')","('W', 'W', 'W', 'W', 'D')",8/6/2024 8:00
Port Melbourne,Hume City,2.6,3.5,2.3,X2,"('D', 'W', 'W', 'L', 'W')","('L', 'W', 'D', 'L', 'W')",8/6/2024 8:00
Perth RedStar,Inglewood United,1.1,10,21,1,"('W', 'W', 'W', 'W', 'L')","('L', 'L', 'L', 'L', 'L')",8/6/2024 8:00
Floreat Athena,Fremantle City,2.5,3.6,2.4,X2,"('D', 'L', 'L', 'W', 'W')","('W', 'W', 'W', 'W', 'W')",8/6/2024 8:00
Gold Coast Knights,Peninsula Power,1.4,4.7,5.3,1,"('W', 'W', 'D', 'W', 'W')","('W', 'L', 'W', 'D', 'W')",8/6/2024 8:00
Perth Glory II,Perth,2.2,3.6,2.7,X,"('L', 'L', 'L', 'L', 'L')","('L', 'L', 'D', 'L', 'D')",8/6/2024 8:00
Balcatta,Bayswater City,3.8,3.9,1.7,2,"('L', 'W', 'L', 'L', 'W')","('D', 'W', 'D', 'D', 'W')",8/6/2024 8:00
Adelaide City,Adelaide Comets,3.2,3.7,1.9,1X,"('W', 'W', 'W', 'D', 'L')","('W', 'W', 'D', 'D', 'D')",8/6/2024 8:30
NWS Spirit,Marconi Stallions,4.8,4.5,1.5,2,"('W', 'L', 'W', 'L', 'L')","('W', 'W', 'L', 'W', 'W')",8/6/2024 8:30
Langfang Glory City,Hubei Chufeng Heli,2,3.2,3.7,1X,"('L', 'W', 'D', 'W', 'W')","('L', 'D', 'L', 'W', 'L')",8/6/2024 9:00
Adelaide Olympic,Adelaide Raiders,5.5,4.9,1.4,2,"('L', 'L', 'L', 'W', 'D')","('D', 'L', 'W', 'L', 'L')",8/6/2024 9:30
Hills Brumbies,Central Coast II,2.1,3.8,2.9,X,"('L', 'W', 'L', 'L', 'L')","('D', 'L', 'L', 'L', 'W')",8/6/2024 10:00
Guangzhou E-Power,Guangxi Lanhang,1.2,5.2,11.9,1,"('W', 'W', 'L', 'W', 'W')","('D', 'W', 'L', 'D', 'L')",8/6/2024 10:00
Lions,Olympic FC,1.5,4.5,4.9,1,"('W', 'W', 'D', 'W', 'L')","('W', 'D', 'W', 'L', 'L')",8/6/2024 10:00
Guangxi Hengchen,Shangyu Pterosaur,1.9,3.4,3.7,1,"('D', 'D', 'W', 'D', 'W')","('L', 'L', 'D', 'W', 'L')",8/6/2024 10:00
Dandenong Thunder,Altona Magic,2.1,3.6,2.9,X,"('L', 'W', 'D', 'L', 'L')","('L', 'L', 'D', 'W', 'L')",8/6/2024 10:00
Stirling Lions,Western Knights,2.3,3.7,2.5,X,"('L', 'W', 'W', 'L', 'L')","('W', 'L', 'L', 'D', 'D')",8/6/2024 10:00
St George City FA,Wollongong Wolves,2,3.6,3.2,X,"('W', 'L', 'W', 'D', 'W')","('W', 'L', 'L', 'L', 'W')",8/6/2024 10:15
Hunan Billows FC,Shanghai Port II,2.1,3.3,3.1,X,"('L', 'D', 'L', 'W', 'W')","('D', 'W', 'D', 'W', 'L')",8/6/2024 10:30
Lyseng,Silkeborg KFUM,2.5,3.5,2.4,X2,"('L', 'L', 'W', 'L', 'W')","('W', 'D', 'W', 'W', 'L')",8/6/2024 11:00
Holbæk BI,Ishøj,4.4,3.8,1.7,2,"('D', 'L', 'L', 'L', 'D')","('D', 'W', 'L', 'W', 'L')",8/6/2024 12:00
Vanløse,Vejgaard B,2.3,3.5,2.6,X,"('D', 'W', 'L', 'L', 'W')","('L', 'D', 'L', 'W', 'L')",8/6/2024 12:00
Rizhao Yuqi,BIT,3.3,3,2.2,X,"('L', 'L', 'W', 'L', 'L')","('D', 'D', 'L', 'W', 'D')",8/6/2024 12:30
Roskilde,Esbjerg,2.6,3.7,2.4,X,"('W', 'D', 'D', 'L', 'W')","('W', 'W', 'L', 'W', 'L')",8/6/2024 13:00
Thisted FC,Brabrand,2.3,3.5,2.9,X2,"('D', 'W', 'W', 'L', 'D')","('L', 'W', 'W', 'L', 'D')",8/6/2024 14:00
FA 2000,HIK,2.2,3.5,2.9,X,"('D', 'L', 'W', 'W', 'D')","('L', 'L', 'L', 'L', 'D')",8/6/2024 14:00
Fremad Amager,Skive,2.4,3.5,2.6,X,"('W', 'L', 'L', 'W', 'L')","('W', 'W', 'L', 'W', 'W')",8/6/2024 14:00
Oviedo,Eibar,2.3,3.3,3.3,X2,"('L', 'W', 'L', 'W', 'W')","('W', 'L', 'W', 'D', 'W')",8/6/2024 17:30
Tristan Suarez,Agropecuario,2.8,2.8,2.8,X,"('L', 'L', 'W', 'D', 'W')","('W', 'D', 'W', 'L', 'L')",8/6/2024 19:00
Defensores De Belgrano,Gimnasia Y Tiro,2.1,2.9,4.1,1,"('L', 'L', 'D', 'W', 'W')","('D', 'D', 'L', 'D', 'W')",8/6/2024 19:00
Almagro,Gimnasia M.,2.7,2.9,2.7,X,"('D', 'D', 'L', 'L', 'L')","('W', 'W', 'W', 'L', 'L')",8/6/2024 19:00
San Miguel,Quilmes,2.2,3.1,3.4,X,"('W', 'L', 'W', 'L', 'W')","('L', 'D', 'W', 'L', 'D')",8/6/2024 19:10
All Boys,Atlanta,2.4,2.9,3.2,X2,"('L', 'D', 'L', 'W', 'D')","('D', 'L', 'W', 'W', 'W')",8/6/2024 19:20
Amazonas,Brusque,2.1,3,4,1X,"('L', 'W', 'L', 'D', 'L')","('D', 'D', 'L', 'L', 'D')",8/6/2024 21:00
Figueirense,ABC,2,3,4.1,1,"('L', 'L', 'L', 'W', 'W')","('W', 'D', 'W', 'L', 'L')",8/6/2024 21:00
CRB,Botafogo SP,1.8,3.4,4.7,1,"('L', 'L', 'D', 'W', 'W')","('W', 'L', 'D', 'L', 'D')",8/6/2024 21:00
Gremio,Estudiantes L.P.,1.8,3.6,5,1,"('W', 'L', 'W', 'D', 'L')","('D', 'L', 'L', 'W', 'W')",8/6/2024 23:00
Londrina,Sampaio Correa,2,3,4.1,1X,"('L', 'D', 'W', 'W', 'D')","('L', 'W', 'L', 'L', 'D')",8/6/2024 23:30
Temperley,Deportivo Moron,2.1,3,3.8,1X,"('L', 'L', 'D', 'W', 'W')","('L', 'W', 'L', 'D', 'D')",8/6/2024 23:30
Bucaramanga,Santa Fe,2.3,3.1,3.2,X2,"('W', 'L', 'D', 'W', 'D')","('W', 'W', 'W', 'D', 'D')",9/6/2024 1:30
Fukushima United,Vanraure Hachinohe,2.1,3.3,3.1,X,"('L', 'W', 'W', 'W', 'W')","('D', 'W', 'D', 'W', 'W')",9/6/2024 6:00
Montedio Yamagata,Oita Trinita,2.2,3.3,3.1,X,"('D', 'W', 'L', 'L', 'L')","('L', 'L', 'D', 'D', 'L')",9/6/2024 6:00
Machida Zelvia,Cerezo Osaka,2,3.2,3.6,X,"('W', 'L', 'W', 'W', 'W')","('L', 'D', 'D', 'W', 'W')",9/6/2024 6:00
Kanazawa,Omiya Ardija,2.8,3.4,2.2,X,"('D', 'D', 'W', 'D', 'W')","('W', 'W', 'W', 'L', 'W')",9/6/2024 6:00
St. Albans Saints,Melbourne Knights,7.7,5.2,1.3,2,"('L', 'L', 'L', 'L', 'L')","('D', 'L', 'L', 'D', 'W')",9/6/2024 6:00
Sydney United,Sydney Olympic,2.2,3.7,2.7,X,"('L', 'W', 'L', 'D', 'W')","('L', 'L', 'W', 'L', 'L')",9/6/2024 6:00
Brisbane Roar II,Redlands United,1.5,4.5,4.6,1,"('L', 'L', 'L', 'D', 'W')","('L', 'L', 'L', 'L', 'L')",9/6/2024 7:00
Brisbane City,Gold Coast United,2.7,3.7,2.2,X,"('L', 'W', 'L', 'W', 'L')","('L', 'D', 'D', 'W', 'D')",9/6/2024 7:00
Nagoya Grampus,Kashiwa Reysol,2.5,3.1,2.6,X,"('D', 'L', 'D', 'W', 'W')","('D', 'L', 'L', 'D', 'W')",9/6/2024 8:00
Adelaide United II,Para Hills Knights,2.4,3.4,2.5,X2,"('D', 'W', 'L', 'D', 'D')","('L', 'W', 'W', 'D', 'D')",9/6/2024 8:30
Sanfrecce Hiroshima,FC Tokyo,1.5,3.9,6.7,1,"('W', 'W', 'D', 'W', 'W')","('L', 'W', 'L', 'D', 'D')",9/6/2024 10:30
Fagiano Okayama,Kagoshima United,1.7,3.6,4.5,1,"('L', 'W', 'W', 'D', 'L')","('D', 'D', 'L', 'L', 'L')",9/6/2024 11:00
Tegevajaro Miyazaki,Kitakyushu,2.3,3.3,2.8,X2,"('W', 'W', 'L', 'L', 'D')","('W', 'D', 'W', 'D', 'W')",9/6/2024 11:00
Næsby,VSK Århus,2.4,3.6,2.6,X,"('D', 'W', 'W', 'W', 'W')","('W', 'L', 'W', 'L', 'D')",9/6/2024 12:00
Holstebro,SfB-Oure,1.7,3.8,3.9,1,"('W', 'D', 'W', 'L', 'W')","('D', 'D', 'L', 'W', 'L')",9/6/2024 12:00
Avarta,Frem,3.9,3.8,1.8,X2,"('D', 'L', 'L', 'L', 'D')","('L', 'W', 'W', 'W', 'D')",9/6/2024 12:00
Nykobing FC,Middelfart,4.5,4,1.7,2,"('L', 'L', 'D', 'L', 'W')","('W', 'L', 'D', 'W', 'D')",9/6/2024 14:00
Bryne,Asane,1.5,4.5,5.6,1,"('L', 'W', 'W', 'L', 'W')","('L', 'W', 'L', 'L', 'L')",9/6/2024 16:00
Mjondalen,Ranheim,2.4,3.7,2.6,X,"('D', 'L', 'L', 'W', 'L')","('L', 'L', 'W', 'D', 'L')",9/6/2024 16:00
Aalesund,Kongsvinger,3.5,3.9,1.9,X,"('L', 'W', 'L', 'L', 'L')","('W', 'W', 'W', 'W', 'D')",9/6/2024 16:00
Start,Lyn,2.4,3.6,2.6,X2,"('D', 'W', 'L', 'W', 'L')","('D', 'L', 'W', 'D', 'W')",9/6/2024 16:00
Sogndal,Egersund,2,3.8,3.2,X,"('L', 'L', 'D', 'W', 'W')","('W', 'L', 'W', 'D', 'L')",9/6/2024 16:00
Valerenga,Moss,1.5,4.5,5.7,1,"('W', 'W', 'W', 'L', 'W')","('W', 'W', 'W', 'W', 'D')",9/6/2024 18:00
Sporting Gijon,Espanyol,2.5,3.2,3.1,X,"('W', 'W', 'L', 'W', 'D')","('W', 'D', 'W', 'D', 'D')",9/6/2024 20:00
Criciuma,Cuiaba,2,3.3,3.5,X,"('L', 'L', 'L', 'W', 'D')","('D', 'L', 'W', 'W', 'D')",9/6/2024 20:00
Avai,Chapecoense-sc,1.9,3.3,4.1,1X,"('W', 'W', 'W', 'W', 'W')","('D', 'L', 'D', 'D', 'L')",9/6/2024 20:00
Botafogo PB,Ferroviario,1.7,3.2,5.5,1,"('W', 'W', 'W', 'W', 'D')","('W', 'W', 'L', 'L', 'D')",9/6/2024 20:30
America Mineiro,Ponte Preta,1.5,4.1,7.1,1,"('L', 'W', 'W', 'D', 'W')","('W', 'L', 'D', 'L', 'D')",9/6/2024 22:30
remo,São Bernardo,2.4,3,3,X,"('W', 'L', 'D', 'W', 'L')","('W', 'W', 'L', 'D', 'W')",9/6/2024 23:00
Argentina,Ecuador,1.6,4.1,5.9,1,"('W', 'W', 'W', 'L', 'W')","('L', 'L', 'W', 'W', 'D')",10/6/2024 0:00
Birmingham Legion,Indy Eleven,1.8,3.8,4.1,1,"('W', 'D', 'L', 'W', 'L')","('W', 'W', 'W', 'W', 'W')",10/6/2024 0:00
Oakleigh Cannons,Dandenong City,1.3,5,7,1,"('W', 'W', 'W', 'W', 'W')","('W', 'W', 'L', 'L', 'L')",10/6/2024 6:00
Czech Republic,FYR Macedonia,1.5,4.2,5.8,1,"('W', 'W', 'W', 'D', 'W')","('L', 'L', 'D', 'D', 'L')",10/6/2024 17:00
Netherlands,Iceland,1.2,7.4,14,1,"('W', 'L', 'W', 'W', 'W')","('L', 'W', 'W', 'W', 'L')",10/6/2024 19:45
Vila Nova,Ceara,2.3,3.2,3.2,X,"('D', 'L', 'D', 'L', 'L')","('W', 'W', 'L', 'D', 'W')",10/6/2024 23:00
Japan,Syria,1.1,10,26,1,"('W', 'W', 'L', 'W', 'W')","('L', 'W', 'D', 'D', 'W')",11/6/2024 11:00
South Korea,China PR,1.2,7,13,1,"('W', 'W', 'D', 'L', 'W')","('D', 'W', 'D', 'L', 'D')",11/6/2024 12:00
Australia,Palestine,1.3,5.5,10,1,"('W', 'W', 'W', 'L', 'W')","('D', 'W', 'W', 'L', 'W')",11/6/2024 13:10
Atletico GO,Corinthians,2.6,3.2,2.7,X2,"('L', 'W', 'W', 'L', 'W')","('L', 'W', 'W', 'W', 'L')",11/6/2024 23:00
Juventude,Vitoria,2.1,3.1,3.7,1X,"('W', 'D', 'D', 'L', 'W')","('D', 'L', 'L', 'L', 'L')",11/6/2024 23:00
